Name,Set Name,Number,Type,HP,Stage,Rarity,1st Edition,Shadowless,Unlimited,Rev Holo,Additional
Mightyena,Phantom Forces,54,Darkness,90,Stage 1,Rare,-,-,,,
Spiritomb,Phantom Forces,55,Darkness,70,Basic,Rare,-,-,,,
Purrloin,Phantom Forces,56,Darkness,50,Basic,Common,-,-,,,
Liepard,Phantom Forces,57,Darkness,90,Stage 1,Uncommon,-,-,,,
Malamar-EX,Phantom Forces,58,Darkness,170,Basic,Ex Rare,-,-,,-,
Skarmory,Phantom Forces,59,Metal,100,Basic,Common,-,-,,,
Bronzor,Phantom Forces,60,Metal,50,Basic,Common,-,-,,,
Bronzong,Phantom Forces,61,Metal,90,Stage 1,Rare,-,-,,,
Dialga-EX,Phantom Forces,62,Metal,180,Basic,Ex Rare,-,-,,-,
Heatran,Phantom Forces,63,Metal,130,Basic,Holo Rare,-,-,,,
Escavalier,Phantom Forces,64,Metal,100,Stage 1,Rare,-,-,,,
Aegislash-EX,Phantom Forces,65,Metal,170,Basic,Ex Rare,-,-,,-,
Klefki,Phantom Forces,66,Metal,70,Basic,Uncommon,-,-,,,
Florges-EX,Phantom Forces,67,Fairy,160,Basic,Ex Rare,-,-,,-,
Swirlix,Phantom Forces,68,Fairy,60,Basic,Common,-,-,,,
Slurpuff,Phantom Forces,69,Fairy,90,Stage 1,Holo Rare,-,-,,,
Dedenne,Phantom Forces,70,Fairy,70,Basic,Common,-,-,,,
Diancie,Phantom Forces,71,Fairy,90,Basic,Holo Rare,-,-,,,
Deino,Phantom Forces,72,Dragon,50,Basic,Common,-,-,,,
Zweilous,Phantom Forces,73,Dragon,90,Stage 1,Uncommon,-,-,,,
Hydreigon,Phantom Forces,74,Dragon,140,Stage 2,Holo Rare,-,-,,,
Goomy,Phantom Forces,75,Dragon,50,Basic,Common,-,-,,,
Sliggoo,Phantom Forces,76,Dragon,80,Stage 1,Uncommon,-,-,,,
Goodra,Phantom Forces,77,Dragon,140,Stage 2,Holo Rare,-,-,,,
Spearow,Phantom Forces,78,Colorless,60,Basic,Common,-,-,,,
Fearow,Phantom Forces,79,Colorless,90,Stage 1,Uncommon,-,-,,,
Chansey,Phantom Forces,80,Colorless,100,Basic,Common,-,-,,,
Blissey,Phantom Forces,81,Colorless,130,Stage 1,Rare,-,-,,,
Girafarig,Phantom Forces,82,Colorless,90,Basic,Uncommon,-,-,,,
Whismur,Phantom Forces,83,Colorless,60,Basic,Common,-,-,,,
Loudred,Phantom Forces,84,Colorless,90,Stage 1,Uncommon,-,-,,,
Exploud,Phantom Forces,85,Colorless,140,Stage 2,Rare,-,-,,,
Regigigas,Phantom Forces,86,Colorless,130,Basic,Holo Rare,-,-,,,
Bunnelby,Phantom Forces,87,Colorless,60,Basic,Common,-,-,,,
Diggersby,Phantom Forces,88,Colorless,100,Stage 1,Rare,-,-,,,
Fletchling,Phantom Forces,89,Colorless,50,Basic,Common,-,-,,,
Furfrou,Phantom Forces,90,Colorless,90,Basic,Uncommon,-,-,,,
AZ,Phantom Forces,91,Trainer,,Supporter,Uncommon,-,-,,,
Battle Compressor,Phantom Forces,92,Trainer,,Item,Uncommon,-,-,,,
Dimension Valley,Phantom Forces,93,Trainer,,Stadium,Uncommon,-,-,,,
Enhanced Hammer,Phantom Forces,94,Trainer,,Item,Uncommon,-,-,,,
Gengar Spirit Link,Phantom Forces,95,Trainer,,Item,Uncommon,-,-,,,
Hand Scope,Phantom Forces,96,Trainer,,Item,Uncommon,-,-,,,
Head Ringer,Phantom Forces,97,Trainer,,Item,Holo Rare,-,-,,-,
Jamming Net,Phantom Forces,98,Trainer,,Item,Holo Rare,-,-,,-,
Lysandre's Trump Card,Phantom Forces,99,Trainer,,Supporter,Uncommon,-,-,,,
Manectric Spirit Link,Phantom Forces,100,Trainer,,Item,Uncommon,-,-,,,
Professor Sycamore,Phantom Forces,101,Trainer,,Supporter,Uncommon,-,-,,,
Robo Substitute,Phantom Forces,102,Trainer,,Item,Uncommon,-,-,,,
Roller Skates,Phantom Forces,103,Trainer,,Item,Uncommon,-,-,,,
Shauna,Phantom Forces,104,Trainer,,Supporter,Uncommon,-,-,,,
Steel Shelter,Phantom Forces,105,Trainer,,Stadium,Uncommon,-,-,,,
Target Whistle,Phantom Forces,106,Trainer,,Item,Uncommon,-,-,,,
Tierno,Phantom Forces,107,Trainer,,Supporter,Uncommon,-,-,,,
Trick Coin,Phantom Forces,108,Trainer,,Item,Uncommon,-,-,,,
VS Seeker,Phantom Forces,109,Trainer,,Item,Uncommon,-,-,,,
Xerosic,Phantom Forces,110,Trainer,,Supporter,Uncommon,-,-,,,
Double Colorless Energy,Phantom Forces,111,Energy,,Special Energy,Uncommon,-,-,,,
Mystery Energy,Phantom Forces,112,Energy,,Special Energy,Uncommon,-,-,,,
Manectric-EX,Phantom Forces,113,Lightning,170,Basic,Full Art,-,-,,-,
Gengar-EX,Phantom Forces,114,Psychic,170,Basic,Full Art,-,-,,-,
Malamar-EX,Phantom Forces,115,Darkness,170,Basic,Full Art,-,-,,-,
Florges-EX,Phantom Forces,116,Fairy,160,Basic,Full Art,-,-,,-,
AZ,Phantom Forces,117,Trainer,,Supporter,Full Art,-,-,,-,
Lysandre's Trump Card,Phantom Forces,118,Trainer,,Supporter,Full Art,-,-,,-,
Xerosic,Phantom Forces,119,Trainer,,Supporter,Full Art,-,-,,-,
Mega Manectric-EX,Phantom Forces,120,Lightning,210,Mega,Secret Rare,-,-,,-,
Mega Gengar-EX,Phantom Forces,121,Psychic,220,Mega,Secret Rare,-,-,,-,
Dialga-EX,Phantom Forces,122,Metal,180,Basic,Secret Rare,-,-,,-,
Weedle,Primal Clash,1,Grass,50,Basic,Common,-,-,,,
Kakuna,Primal Clash,2,Grass,80,Stage 1,Uncommon,-,-,,,
Beedrill,Primal Clash,3,Grass,120,Stage 2,Rare,-,-,,,
Tangela,Primal Clash,4,Grass,80,Basic,Common,-,-,,,
Tangrowth,Primal Clash,5,Grass,130,Stage 1,Rare,-,-,,,
Treecko,Primal Clash,6,Grass,60,Basic,Common,-,-,,,
Grovyle,Primal Clash,7,Grass,80,Stage 1,Uncommon,-,-,,,
Sceptile,Primal Clash,8,Grass,130,Stage 2,Rare,-,-,,,
Sceptile,Primal Clash,9,Grass,140,Stage 2,Holo Rare,-,-,,,
Lotad,Primal Clash,10,Grass,60,Basic,Common,-,-,,,
Lombre,Primal Clash,11,Grass,80,Stage 1,Uncommon,-,-,,,
Ludicolo,Primal Clash,12,Grass,130,Stage 2,Holo Rare,-,-,,,
Surskit,Primal Clash,13,Grass,50,Basic,Common,-,-,,,
Masquerain,Primal Clash,14,Grass,80,Stage 1,Uncommon,-,-,,,
Shroomish,Primal Clash,15,Grass,60,Basic,Common,-,-,,,
Breloom,Primal Clash,16,Grass,100,Stage 1,Rare,-,-,,,
Volbeat,Primal Clash,17,Grass,70,Basic,Common,-,-,,,
Illumise,Primal Clash,18,Grass,70,Basic,Common,-,-,,,
Trevenant-EX,Primal Clash,19,Grass,180,Basic,EX Rare,-,-,,-,
Vulpix,Primal Clash,20,Fire,60,Basic,Common,-,-,,,
Ninetales,Primal Clash,21,Fire,90,Stage 1,Rare,-,-,,,
Slugma,Primal Clash,22,Fire,70,Basic,Common,-,-,,,
Magcargo,Primal Clash,23,Fire,120,Stage 1,Uncommon,-,-,,,
Magcargo,Primal Clash,24,Fire,110,Stage 1,Rare,-,-,,,
Torchic,Primal Clash,25,Fire,60,Basic,Common,-,-,,,
Torchic,Primal Clash,26,Fire,50,Basic,Uncommon,-,-,,,
Combusken,Primal Clash,27,Fire,80,Stage 1,Uncommon,-,-,,,
Blaziken,Primal Clash,28,Fire,140,Stage 2,Holo Rare,-,-,,,
Camerupt-EX,Primal Clash,29,Fire,180,Basic,EX Rare,-,-,,-,
Horsea,Primal Clash,30,Water,60,Basic,Common,-,-,,,
Seadra,Primal Clash,31,Water,80,Stage 1,Uncommon,-,-,,,
Staryu,Primal Clash,32,Water,60,Basic,Common,-,-,,,
Mudkip,Primal Clash,33,Water,60,Basic,Common,-,-,,,
Marshtomp,Primal Clash,34,Water,90,Stage 1,Uncommon,-,-,,,
Swampert,Primal Clash,35,Water,150,Stage 2,Rare,-,-,,,
Swampert,Primal Clash,36,Water,140,Stage 2,Holo Rare,-,-,,,
Ludicolo,Primal Clash,37,Water,130,Stage 2,Rare,-,-,,,
Wailord-EX,Primal Clash,38,Water,250,Basic,EX Rare,-,-,,-,
Barboach,Primal Clash,39,Water,50,Basic,Common,-,-,,,
Whiscash,Primal Clash,40,Water,100,Stage 1,Uncommon,-,-,,,
Whiscash,Primal Clash,41,Water,110,Stage 1,Rare,-,-,,,
Corphish,Primal Clash,42,Water,60,Basic,Common,-,-,,,
Feebas,Primal Clash,43,Water,30,Basic,Common,-,-,,,
Milotic,Primal Clash,44,Water,110,Stage 1,Holo Rare,-,-,,,
Spheal,Primal Clash,45,Water,60,Basic,Common,-,-,,,
Spheal,Primal Clash,46,Water,70,Basic,Common,-,-,,,
Sealeo,Primal Clash,47,Water,90,Stage 1,Uncommon,-,-,,,
Walrein,Primal Clash,48,Water,150,Stage 2,Rare,-,-,,,
Clamperl,Primal Clash,49,Water,50,Basic,Common,-,-,,,
Huntail,Primal Clash,50,Water,100,Stage 1,Holo Rare,-,-,,,
Gorebyss,Primal Clash,51,Water,80,Stage 1,Uncommon,-,-,,,
Gorebyss,Primal Clash,52,Water,90,Stage 1,Rare,-,-,,,
Kyogre,Primal Clash,53,Water,130,Basic,Rare,-,-,,,
Kyogre-EX,Primal Clash,54,Water,180,Basic,EX Rare,-,-,,-,
Primal Kyogre-EX,Primal Clash,55,Water,240,Mega,EX Rare,-,-,,-,
Manaphy,Primal Clash,56,Water,70,Basic,Holo Rare,-,-,,,
Chinchou,Primal Clash,57,Lightning,70,Basic,Common,-,-,,,
Lanturn,Primal Clash,58,Lightning,100,Stage 1,Uncommon,-,-,,,
Electrike,Primal Clash,59,Lightning,60,Basic,Common,-,-,,,
Electrike,Primal Clash,60,Lightning,50,Basic,Uncommon,-,-,,,
Manectric,Primal Clash,61,Lightning,100,Stage 1,Holo Rare,-,-,,,
Tynamo,Primal Clash,62,Lightning,40,Basic,Common,-,-,,,
Eelektrik,Primal Clash,63,Lightning,90,Stage 1,Uncommon,-,-,,,
Eelektrik,Primal Clash,64,Lightning,90,Stage 1,Rare,-,-,,,
Eelektross,Primal Clash,65,Lightning,140,Stage 2,Holo Rare,-,-,,,
Nidoran♀,Primal Clash,66,Psychic,60,Basic,Common,-,-,,,
Nidorina,Primal Clash,67,Psychic,90,Stage 1,Uncommon,-,-,,,
Nidoqueen,Primal Clash,68,Psychic,140,Stage 2,Uncommon,-,-,,,
Nidoqueen,Primal Clash,69,Psychic,140,Stage 2,Rare,-,-,,,
Tentacool,Primal Clash,70,Psychic,50,Basic,Common,-,-,,,
Tentacool,Primal Clash,71,Psychic,60,Basic,Uncommon,-,-,,,
Tentacruel,Primal Clash,72,Psychic,100,Stage 1,Rare,-,-,,,
Starmie,Primal Clash,73,Psychic,90,Stage 1,Rare,-,-,,,
Rhyhorn,Primal Clash,74,Fighting,80,Basic,Common,-,-,,,
Rhydon,Primal Clash,75,Fighting,100,Stage 1,Uncommon,-,-,,,
Rhyperior,Primal Clash,76,Fighting,150,Stage 2,Rare,-,-,,,
Rhyperior,Primal Clash,77,Fighting,160,Stage 2,Holo Rare,-,-,,,
Nosepass,Primal Clash,78,Fighting,80,Basic,Common,-,-,,,
Meditite,Primal Clash,79,Fighting,50,Basic,Common,-,-,,,
Medicham,Primal Clash,80,Fighting,100,Stage 1,Holo Rare,-,-,,,
Medicham,Primal Clash,81,Fighting,90,Stage 1,Rare,-,-,,,
Trapinch,Primal Clash,82,Fighting,60,Basic,Common,-,-,,,
Solrock,Primal Clash,83,Fighting,80,Basic,Common,-,-,,,
Groudon,Primal Clash,84,Fighting,130,Basic,Rare,-,-,,,
Groudon-EX,Primal Clash,85,Fighting,180,Basic,EX Rare,-,-,,-,
Primal Groudon-EX,Primal Clash,86,Fighting,240,Mega,EX Rare,-,-,,-,
Hippopotas,Primal Clash,87,Fighting,90,Basic,Common,-,-,,,
Hippowdon,Primal Clash,88,Fighting,130,Stage 1,Holo Rare,-,-,,,
Drilbur,Primal Clash,89,Fighting,60,Basic,Common,-,-,,,
Diggersby,Primal Clash,90,Fighting,110,Stage 1,Rare,-,-,,,
Sharpedo-EX,Primal Clash,91,Darkness,170,Basic,EX Rare,-,-,,-,
Crawdaunt,Primal Clash,92,Darkness,90,Stage 1,Holo Rare,-,-,,,
Aggron-EX,Primal Clash,93,Metal,180,Basic,EX Rare,-,-,,-,
Mega Aggron-EX,Primal Clash,94,Metal,240,Mega,EX Rare,-,-,,-,
Probopass,Primal Clash,95,Metal,110,Stage 1,Rare,-,-,,,
Excadrill,Primal Clash,96,Metal,100,Stage 1,Rare,-,-,,,
Excadrill,Primal Clash,97,Metal,110,Stage 1,Holo Rare,-,-,,,
Honedge,Primal Clash,98,Metal,60,Basic,Common,-,-,,,
Doublade,Primal Clash,99,Metal,80,Stage 1,Uncommon,-,-,,,
Aegislash,Primal Clash,100,Metal,140,Stage 2,Holo Rare,-,-,,,
Mr. Mime,Primal Clash,101,Fairy,80,Basic,Uncommon,-,-,,,
Marill,Primal Clash,102,Fairy,70,Basic,Common,-,-,,,
Azumarill,Primal Clash,103,Fairy,90,Stage 1,Rare,-,-,,,
Azumarill,Primal Clash,104,Fairy,100,Stage 1,Holo Rare,-,-,,,
Gardevoir-EX,Primal Clash,105,Fairy,170,Basic,EX Rare,-,-,,-,
Mega Gardevoir-EX,Primal Clash,106,Fairy,210,Mega,EX Rare,-,-,,-,
Kingdra,Primal Clash,107,Dragon,130,Stage 2,Rare,-,-,,,
Kingdra,Primal Clash,108,Dragon,130,Stage 2,Holo Rare,-,-,,,
Vibrava,Primal Clash,109,Dragon,80,Stage 1,Uncommon,-,-,,,
Flygon,Primal Clash,110,Dragon,140,Stage 2,Holo Rare,-,-,,,
Zigzagoon,Primal Clash,111,Colorless,60,Basic,Common,-,-,,,
Linoone,Primal Clash,112,Colorless,90,Stage 1,Uncommon,-,-,,,
Skitty,Primal Clash,113,Colorless,50,Basic,Common,-,-,,,
Delcatty,Primal Clash,114,Colorless,80,Stage 1,Rare,-,-,,,
Spinda,Primal Clash,115,Colorless,80,Basic,Common,-,-,,,
Bidoof,Primal Clash,116,Colorless,70,Basic,Common,-,-,,,
Bidoof,Primal Clash,117,Colorless,70,Basic,Uncommon,-,-,,,
Bibarel,Primal Clash,118,Colorless,120,Stage 1,Uncommon,-,-,,,
Bouffalant,Primal Clash,119,Colorless,110,Basic,Uncommon,-,-,,,
Bunnelby,Primal Clash,120,Colorless,70,Basic,Common,-,-,,,
Bunnelby,Primal Clash,121,Colorless,60,Basic,Uncommon,-,-,,,
Acro Bike,Primal Clash,122,Trainer,,Item,Uncommon,-,-,,,
Aggron Spirit Link,Primal Clash,123,Trainer,,Item,Uncommon,-,-,,,
Archie's Ace in the Hole,Primal Clash,124,Trainer,,Supporter,Uncommon,-,-,,,
Dive Ball,Primal Clash,125,Trainer,,Item,Uncommon,-,-,,,
Energy Retrieval,Primal Clash,126,Trainer,,Item,Uncommon,-,-,,,
Escape Rope,Primal Clash,127,Trainer,,Item,Uncommon,-,-,,,
Exp. Share,Primal Clash,128,Trainer,,Item,Uncommon,-,-,,,
Fresh Water Set,Primal Clash,129,Trainer,,Item,Uncommon,-,-,,,
Gardevoir Spirit Link,Primal Clash,130,Trainer,,Item,Uncommon,-,-,,,
Groudon Spirit Link,Primal Clash,131,Trainer,,Item,Uncommon,-,-,,,
Kyogre Spirit Link,Primal Clash,132,Trainer,,Item,Uncommon,-,-,,,
Maxie's Hidden Ball Trick,Primal Clash,133,Trainer,,Supporter,Uncommon,-,-,,,
Professor Birch's Observations,Primal Clash,134,Trainer,,Supporter,Uncommon,-,-,,,
Rare Candy,Primal Clash,135,Trainer,,Item,Uncommon,-,-,,,
Repeat Ball,Primal Clash,136,Trainer,,Item,Uncommon,-,-,,,
Rough Seas,Primal Clash,137,Trainer,,Stadium,Uncommon,-,-,,,
Scorched Earth,Primal Clash,138,Trainer,,Stadium,Uncommon,-,-,,,
Shrine of Memories,Primal Clash,139,Trainer,,Stadium,Uncommon,-,-,,,
Silent Lab,Primal Clash,140,Trainer,,Stadium,Uncommon,-,-,,,
Teammates,Primal Clash,141,Trainer,,Supporter,Uncommon,-,-,,,
Weakness Policy,Primal Clash,142,Trainer,,Item,Uncommon,-,-,,,
Shield Energy,Primal Clash,143,Energy,,Special Energy,Uncommon,-,-,,,
Wonder Energy,Primal Clash,144,Energy,,Special Energy,Uncommon,-,-,,,
Trevenant-EX,Primal Clash,145,Grass,180,Basic,Full Art,-,-,,-,
Camerupt-EX,Primal Clash,146,Fire,180,Basic,Full Art,-,-,,-,
Wailord-EX,Primal Clash,147,Water,250,Basic,Full Art,-,-,,-,
Kyogre-EX,Primal Clash,148,Water,180,Basic,Full Art,-,-,,-,
Primal Kyogre-EX,Primal Clash,149,Water,240,Mega,Full Art,-,-,,-,
Groudon-EX,Primal Clash,150,Fighting,180,Basic,Full Art,-,-,,-,
Primal Groudon-EX,Primal Clash,151,Fighting,240,Mega,Full Art,-,-,,-,
Sharpedo-EX,Primal Clash,152,Darkness,170,Basic,Full Art,-,-,,-,
Aggron-EX,Primal Clash,153,Metal,180,Basic,Full Art,-,-,,-,
Mega Aggron-EX,Primal Clash,154,Metal,240,Mega,Full Art,-,-,,-,
Gardevoir-EX,Primal Clash,155,Fairy,170,Basic,Full Art,-,-,,-,
Mega Gardevoir-EX,Primal Clash,156,Fairy,210,Mega,Full Art,-,-,,-,
Archie's Ace in the Hole,Primal Clash,157,Trainer,,Supporter,Full Art,-,-,,-,
Maxie's Hidden Ball Trick,Primal Clash,158,Trainer,,Supporter,Full Art,-,-,,-,
Professor Birch's Observations,Primal Clash,159,Trainer,,Supporter,Full Art,-,-,,-,
Teammates,Primal Clash,160,Trainer,,Supporter,Full Art,-,-,,-,
Dive Ball,Primal Clash,161,Trainer,,Item,Secret Rare,-,-,,-,
Enhanced Hammer,Primal Clash,162,Trainer,,Item,Secret Rare,-,-,,-,
Switch,Primal Clash,163,Trainer,,Item,Secret Rare,-,-,,-,
Weakness Policy,Primal Clash,164,Trainer,,Item,Secret Rare,-,-,,-,
Team Magma's Numel,Double Crisis,1,Fire,70,Basic,Common,-,-,,,
Team Magma's Camerupt,Double Crisis,2,Fire,110,Stage 1,Holo Rare,-,-,,,
Team Aqua's Spheal,Double Crisis,3,Water,60,Basic,Common,-,-,,,
Team Aqua's Sealeo,Double Crisis,4,Water,90,Stage 1,Common,-,-,,,
Team Aqua's Walrein,Double Crisis,5,Water,140,Stage 2,Holo Rare,-,-,,,
Team Aqua's Kyogre-EX,Double Crisis,6,Water,190,Basic,EX Rare,-,-,,-,
Team Aqua's Grimer,Double Crisis,7,Psychic,70,Basic,Common,-,-,,,
Team Aqua's Muk,Double Crisis,8,Psychic,110,Stage 1,Holo Rare,-,-,,,
Team Aqua's Seviper,Double Crisis,9,Psychic,90,Basic,Common,-,-,,,
Team Magma's Baltoy,Double Crisis,10,Psychic,50,Basic,Common,-,-,,,
Team Magma's Claydol,Double Crisis,11,Psychic,90,Stage 1,Holo Rare,-,-,,,
Team Magma's Aron,Double Crisis,12,Fighting,60,Basic,Common,-,-,,,
Team Magma's Lairon,Double Crisis,13,Fighting,90,Stage 1,Common,-,-,,,
Team Magma's Aggron,Double Crisis,14,Fighting,140,Stage 2,Holo Rare,-,-,,,
Team Magma's Groudon-EX,Double Crisis,15,Fighting,190,Basic,EX Rare,-,-,,-,
Team Aqua's Poochyena,Double Crisis,16,Darkness,60,Basic,Common,-,-,,,
Team Magma's Poochyena,Double Crisis,17,Darkness,60,Basic,Common,-,-,,,
Team Aqua's Mightyena,Double Crisis,18,Darkness,100,Stage 1,Common,-,-,,,
Team Magma's Mightyena,Double Crisis,19,Darkness,100,Stage 1,Common,-,-,,,
Team Aqua's Carvanha,Double Crisis,20,Darkness,50,Basic,Common,-,-,,,
Team Aqua's Sharpedo,Double Crisis,21,Darkness,90,Stage 1,Holo Rare,-,-,,,
Team Magma's Zangoose,Double Crisis,22,Colorless,90,Basic,Common,-,-,,,
Aqua Diffuser,Double Crisis,23,Trainer,,Item,Uncommon,-,-,,,
Magma Pointer,Double Crisis,24,Trainer,,Item,Uncommon,-,-,,,
Team Aqua Admin,Double Crisis,25,Trainer,,Supporter,Uncommon,-,-,,,
Team Aqua Grunt,Double Crisis,26,Trainer,,Supporter,Uncommon,-,-,,,
Team Aqua's Great Ball,Double Crisis,27,Trainer,,Item,Uncommon,-,-,,,
Team Aqua's Secret Base,Double Crisis,28,Trainer,,Stadium,Uncommon,-,-,,,
Team Magma Admin,Double Crisis,29,Trainer,,Supporter,Uncommon,-,-,,,
Team Magma Grunt,Double Crisis,30,Trainer,,Supporter,Uncommon,-,-,,,
Team Magma's Great Ball,Double Crisis,31,Trainer,,Item,Uncommon,-,-,,,
Team Magma's Secret Base,Double Crisis,32,Trainer,,Stadium,Uncommon,-,-,,,
Double Aqua Energy,Double Crisis,33,Energy,,Special Energy,Uncommon,-,-,,,
Double Magma Energy,Double Crisis,34,Energy,,Special Energy,Uncommon,-,-,,,
Exeggcute,Roaring Skies,1,Grass,40,Basic,Common,-,-,,,
Exeggutor,Roaring Skies,2,Grass,120,Stage 1,Uncommon,-,-,,,
Wurmple,Roaring Skies,3,Grass,60,Basic,Common,-,-,,,
Silcoon,Roaring Skies,4,Grass,80,Stage 1,Uncommon,-,-,,,
Beautifly,Roaring Skies,5,Grass,130,Stage 2,Holo Rare,-,-,,,
Cascoon,Roaring Skies,6,Grass,80,Stage 1,Common,-,-,,,
Dustox,Roaring Skies,7,Grass,140,Stage 2,Uncommon,-,-,,,
Dustox,Roaring Skies,8,Grass,130,Stage 2,Rare,-,-,,,
Nincada,Roaring Skies,9,Grass,40,Basic,Common,-,-,,,
Ninjask,Roaring Skies,10,Grass,70,Stage 1,Uncommon,-,-,,,
Shedinja,Roaring Skies,11,Grass,30,Stage 1,Rare,-,-,,,
Tropius,Roaring Skies,12,Grass,110,Basic,Uncommon,-,-,,,
Victini,Roaring Skies,13,Fire,70,Basic,Rare,-,-,,,
Fletchinder,Roaring Skies,14,Fire,70,Stage 1,Uncommon,-,-,,,
Talonflame,Roaring Skies,15,Fire,130,Stage 2,Rare,-,-,,,
Articuno,Roaring Skies,16,Water,120,Basic,Rare,-,-,,,
Articuno,Roaring Skies,17,Water,120,Basic,Rare,-,-,,,
Wingull,Roaring Skies,18,Water,60,Basic,Common,-,-,,,
Pelipper,Roaring Skies,19,Water,100,Stage 1,Uncommon,-,-,,,
Pikachu,Roaring Skies,20,Lightning,60,Basic,Common,-,-,,,
Voltorb,Roaring Skies,21,Lightning,60,Basic,Common,-,-,,,
Electrode,Roaring Skies,22,Lightning,90,Stage 1,Uncommon,-,-,,,
Zapdos,Roaring Skies,23,Lightning,120,Basic,Rare,-,-,,,
Electrike,Roaring Skies,24,Lightning,60,Basic,Common,-,-,,,
Manectric,Roaring Skies,25,Lightning,90,Stage 1,Uncommon,-,-,,,
Thundurus-EX,Roaring Skies,26,Lightning,170,Basic,EX Rare,-,-,,-,
Natu,Roaring Skies,27,Psychic,50,Basic,Common,-,-,,,
Natu,Roaring Skies,28,Psychic,40,Basic,Common,-,-,,,
Xatu,Roaring Skies,29,Psychic,90,Stage 1,Rare,-,-,,,
Shuppet,Roaring Skies,30,Psychic,60,Basic,Common,-,-,,,
Banette,Roaring Skies,31,Psychic,80,Stage 1,Rare,-,-,,,
Banette,Roaring Skies,32,Psychic,90,Stage 1,Rare,-,-,,,
Deoxys,Roaring Skies,33,Psychic,110,Basic,Holo Rare,-,-,,,
Gallade-EX,Roaring Skies,34,Psychic,170,Basic,EX Rare,-,-,,-,
Mega Gallade-EX,Roaring Skies,35,Psychic,220,Mega,EX Rare,-,-,,-,
Gligar,Roaring Skies,36,Fighting,70,Basic,Common,-,-,,,
Gliscor,Roaring Skies,37,Fighting,90,Stage 1,Uncommon,-,-,,,
Binacle,Roaring Skies,38,Fighting,60,Basic,Common,-,-,,,
Hawlucha,Roaring Skies,39,Fighting,80,Basic,Common,-,-,,,
Absol,Roaring Skies,40,Darkness,100,Basic,Holo Rare,-,-,,,
Inkay,Roaring Skies,41,Darkness,50,Basic,Common,-,-,,,
Jirachi,Roaring Skies,42,Metal,70,Basic,Holo Rare,-,-,,,
Togepi,Roaring Skies,43,Fairy,40,Basic,Common,-,-,,,
Togetic,Roaring Skies,44,Fairy,80,Stage 1,Uncommon,-,-,,,
Togekiss,Roaring Skies,45,Fairy,140,Stage 2,Rare,-,-,,,
Togekiss,Roaring Skies,46,Fairy,130,Stage 2,Holo Rare,-,-,,,
Carbink,Roaring Skies,47,Fairy,70,Basic,Rare,-,-,,,
Klefki,Roaring Skies,48,Fairy,60,Basic,Rare,-,-,,,
Dratini,Roaring Skies,49,Dragon,50,Basic,Common,-,-,,,
Dragonair,Roaring Skies,50,Dragon,80,Stage 1,Uncommon,-,-,,,
Dragonite,Roaring Skies,51,Dragon,150,Stage 2,Rare,-,-,,,
Dragonite,Roaring Skies,52,Dragon,160,Stage 2,Holo Rare,-,-,,,
Altaria,Roaring Skies,53,Dragon,80,Stage 1,Uncommon,-,-,,,
Bagon,Roaring Skies,54,Dragon,60,Basic,Common,-,-,,,
Bagon,Roaring Skies,55,Dragon,60,Basic,Common,-,-,,,
Shelgon,Roaring Skies,56,Dragon,80,Stage 1,Uncommon,-,-,,,
Salamence,Roaring Skies,57,Dragon,160,Stage 2,Holo Rare,-,-,,,
Latios-EX,Roaring Skies,58,Dragon,170,Basic,EX Rare,-,-,,-,
Mega Latios-EX,Roaring Skies,59,Dragon,220,Mega,EX Rare,-,-,,-,
Rayquaza-EX,Roaring Skies,60,Dragon,180,Basic,EX Rare,-,-,,-,
Mega Rayquaza-EX,Roaring Skies,61,Dragon,230,Mega,EX Rare,-,-,,-,
Hydreigon-EX,Roaring Skies,62,Dragon,180,Basic,EX Rare,-,-,,-,
Reshiram,Roaring Skies,63,Dragon,130,Basic,Holo Rare,-,-,,,
Zekrom,Roaring Skies,64,Dragon,130,Basic,Holo Rare,-,-,,,
Spearow,Roaring Skies,65,Colorless,60,Basic,Common,-,-,,,
Fearow,Roaring Skies,66,Colorless,100,Stage 1,Uncommon,-,-,,,
Meowth,Roaring Skies,67,Colorless,60,Basic,Common,-,-,,,
Dunsparce,Roaring Skies,68,Colorless,60,Basic,Common,-,-,,,
Skarmory,Roaring Skies,69,Colorless,100,Basic,Rare,-,-,,,
Taillow,Roaring Skies,70,Colorless,50,Basic,Common,-,-,,,
Swellow,Roaring Skies,71,Colorless,90,Stage 1,Rare,-,-,,,
Swellow,Roaring Skies,72,Colorless,90,Stage 1,Holo Rare,-,-,,,
Swablu,Roaring Skies,73,Colorless,40,Basic,Common,-,-,,,
Altaria,Roaring Skies,74,Colorless,90,Stage 1,Rare,-,-,,,
Rayquaza-EX,Roaring Skies,75,Colorless,170,Basic,EX Rare,-,-,,-,
Mega Rayquaza-EX,Roaring Skies,76,Colorless,220,Mega,EX Rare,-,-,,-,
Shaymin-EX,Roaring Skies,77,Colorless,110,Basic,EX Rare,-,-,,-,
Pidove,Roaring Skies,78,Colorless,60,Basic,Common,-,-,,,
Tranquill,Roaring Skies,79,Colorless,80,Stage 1,Uncommon,-,-,,,
Unfezant,Roaring Skies,80,Colorless,130,Stage 2,Uncommon,-,-,,,
Unfezant,Roaring Skies,81,Colorless,140,Stage 2,Rare,-,-,,,
Fletchling,Roaring Skies,82,Colorless,40,Basic,Common,-,-,,,
